timestamp,open,high,low,close,volume,ma7,ma30,ma99
2025-03-28 12:00:00,86955.1,86979.5,86694.5,86746.8,6070.272,,,
2025-03-28 13:00:00,86746.8,86792.8,85891.9,86248.5,14250.097,,,
2025-03-28 14:00:00,86248.5,86248.5,85777.0,86007.3,10787.836,,,
2025-03-28 15:00:00,86007.3,86217.4,85612.2,85680.1,9275.854,,,
2025-03-28 16:00:00,85680.1,85851.5,85121.1,85175.1,16324.522,,,
2025-03-28 17:00:00,85175.1,85409.5,85018.0,85180.0,11446.941,,,
2025-03-28 18:00:00,85180.1,85388.5,84962.7,85118.9,9089.491,85736.67142857143,,
2025-03-28 19:00:00,85118.9,85220.0,84850.0,84916.3,6529.86,85475.17142857144,,
2025-03-28 20:00:00,84916.4,85244.9,84767.0,85214.0,9249.213,85327.38571428573,,
2025-03-28 21:00:00,85214.0,85575.0,84844.4,84997.5,12767.641,85183.12857142858,,
2025-03-28 22:00:00,84997.5,85530.0,84850.0,84959.9,14269.491,85080.24285714285,,
2025-03-28 23:00:00,84960.0,85084.0,84120.2,84133.9,23963.663,84931.5,,
2025-03-29 00:00:00,84133.9,84498.0,83915.6,84011.1,15580.783,84764.51428571428,,
2025-03-29 01:00:00,84011.0,84190.0,83628.7,83756.7,12833.246,84569.91428571429,,
2025-03-29 02:00:00,83756.3,83978.0,83531.7,83972.8,8648.732,84435.12857142858,,
2025-03-29 03:00:00,83972.8,84128.5,83677.7,83847.3,6951.516,84239.8857142857,,
2025-03-29 04:00:00,83847.3,83868.7,83600.0,83760.7,4525.923,84063.2,,
2025-03-29 05:00:00,83760.7,84142.9,83671.0,83769.3,4973.986,83893.1142857143,,
2025-03-29 06:00:00,83769.3,84077.0,83659.6,84019.5,2821.753,83876.77142857143,,
2025-03-29 07:00:00,84019.5,84449.0,84019.5,84443.4,4394.825,83938.52857142857,,
2025-03-29 08:00:00,84443.4,84499.5,84154.8,84380.8,4158.792,84027.68571428572,,
2025-03-29 09:00:00,84380.8,84589.7,84308.5,84352.7,3775.378,84081.95714285714,,
2025-03-29 10:00:00,84352.8,84459.9,84167.8,84240.0,2876.63,84138.05714285714,,
2025-03-29 11:00:00,84240.1,84391.6,83751.9,83822.1,6065.508,84146.82857142857,,
2025-03-29 12:00:00,83822.0,84227.0,83668.1,84125.7,5600.961,84197.74285714285,,
