timestamp,open,high,low,close,volume
2025-02-09,3.7371,3.9517,3.6929,3.8095,12148969.9
2025-02-10,3.8095,3.8549,3.7366,3.8171,8030420.6
2025-02-11,3.8171,3.9017,3.6856,3.7444,11522010.4
2025-02-12,3.7443,3.8314,3.5919,3.8314,13473287.3
2025-02-13,3.8313,3.8808,3.64,3.7103,14914665.7
2025-02-14,3.7104,3.8908,3.6953,3.8447,10802018.5
2025-02-15,3.8447,3.874,3.7233,3.7913,6529549.1
2025-02-16,3.791,3.8451,3.7401,3.7762,9464220.0
2025-02-17,3.7763,3.8547,3.7216,3.7609,15771486.6
2025-02-18,3.761,3.7629,3.5566,3.6729,12111953.3
2025-02-19,3.673,3.6914,3.495,3.5428,14633735.7
2025-02-20,3.5429,3.6388,3.524,3.6005,15340541.3
2025-02-21,3.6005,3.7208,3.52,3.5645,19938354.3
2025-02-22,3.5645,3.7594,3.5414,3.7395,9240684.6
2025-02-23,3.7396,3.8135,3.7284,3.765,8997109.8
2025-02-24,3.7649,3.7983,3.3814,3.4096,18165128.2
2025-02-25,3.4096,3.5922,3.3171,3.5467,22948540.7
2025-02-26,3.5467,3.6233,3.3862,3.4988,21104316.3
2025-02-27,3.499,3.5174,3.3266,3.4188,14977525.9
2025-02-28,3.419,3.4479,3.117,3.3259,20831708.4
2025-03-01,3.326,3.368,3.21,3.3211,10595950.3
2025-03-02,3.3211,3.5894,3.2798,3.506,15984249.0
2025-03-03,3.506,3.5132,3.0221,3.0601,24049167.0
2025-03-04,3.0603,3.1887,2.8133,3.1184,34270584.0
2025-03-05,3.1181,3.1598,2.8883,3.0319,25328539.9
2025-03-06,3.0319,3.1117,2.9954,3.0362,15168105.2
2025-03-07,3.0362,3.0995,2.8815,2.9886,20306306.3
2025-03-08,2.9885,3.0031,2.9367,2.953,7015087.8
2025-03-09,2.9531,2.9647,2.6038,2.6476,19171053.1
2025-03-10,2.6477,2.8066,2.4549,2.5217,27835246.6
2025-03-11,2.5219,2.7375,2.3502,2.6392,32338732.5
2025-03-12,2.639,2.788,2.5883,2.7484,18127434.3
2025-03-13,2.7482,2.7975,2.6785,2.7634,13663800.6
2025-03-14,2.7636,2.9488,2.7586,2.9225,19780411.0
2025-03-15,2.9226,3.6383,2.9014,3.5809,138450785.3
2025-03-16,3.5808,3.5896,3.3253,3.4381,80307592.7
2025-03-17,3.4383,3.6662,3.3842,3.4501,51315986.8
2025-03-18,3.4501,3.6694,3.4,3.5622,47080027.2
2025-03-19,3.5624,3.7975,3.5238,3.6542,43349396.8
2025-03-20,3.6543,3.9279,3.5805,3.6996,51599656.8
2025-03-21,3.6996,3.7958,3.5,3.5855,34163486.8
2025-03-22,3.5854,3.6955,3.5678,3.6663,15315539.2
2025-03-23,3.6664,3.7274,3.6252,3.68,13447633.3
2025-03-24,3.6801,3.762,3.6179,3.661,18961554.9
2025-03-25,3.6611,3.6951,3.5485,3.5955,12143839.1
2025-03-26,3.5955,3.7072,3.5233,3.6768,16426193.8
2025-03-27,3.676,4.0928,3.6758,4.047,52335673.1
2025-03-28,4.0473,4.0735,3.7868,3.7932,56133823.3
2025-03-29,3.7932,3.8475,3.6467,3.698,25897318.4
2025-03-30,3.698,3.9934,3.6369,3.8926,41923443.2
2025-03-31,3.8928,4.165,3.8321,4.1071,44050720.1
2025-04-01,4.1077,4.2117,3.9886,4.0577,34776808.4
2025-04-02,4.0577,4.096,3.8,3.8344,34284897.2
2025-04-03,3.8344,3.8849,3.5382,3.5909,30800536.5
2025-04-04,3.591,3.5999,3.3311,3.4138,42662528.0
2025-04-05,3.4137,3.4177,3.212,3.2563,25472073.8
2025-04-06,3.2563,3.3358,2.85,2.9175,41288363.0
2025-04-07,2.9177,3.1823,2.84,3.1034,79860881.2
2025-04-08,3.1033,3.1797,2.9071,2.9849,25876000.0
2025-04-09,2.9849,3.2426,2.8942,3.156,35689458.4
2025-04-10,3.156,3.1607,2.8558,2.9119,29317162.6
2025-04-11,2.912,2.9957,2.8758,2.9241,26116761.5
2025-04-12,2.9244,2.9587,2.7728,2.9502,23854395.2
