timestamp,open,high,low,close,volume
2025-03-30,2.1336,2.2121,2.1057,2.1352,707385099.8
2025-03-31,2.1353,2.1395,2.0224,2.0889,991841003.8
2025-04-01,2.0888,2.2013,2.0635,2.1378,905047184.9
2025-04-02,2.1378,2.2332,1.9826,2.021,1266081122.2
2025-04-03,2.0208,2.0808,1.9569,2.063,1081372478.5
2025-04-04,2.063,2.1625,2.0148,2.1294,1208452211.3
2025-04-05,2.1295,2.1757,2.1129,2.1436,490191238.6
2025-04-06,2.1436,2.1585,1.8614,1.9204,1311880506.4
2025-04-07,1.9204,2.0045,1.6129,1.8974,3828436357.9
2025-04-08,1.8974,1.9748,1.7766,1.7956,1771869193.7
2025-04-09,1.7956,2.089,1.7212,2.0523,2229131805.7
2025-04-10,2.0523,2.0566,1.9203,1.9645,1216981179.1
2025-04-11,1.9646,2.0637,1.9459,2.0213,833260601.2
2025-04-12,2.0214,2.186,2.0016,2.1588,447872792.8
